22:50:56 INFO  manager.ApplicationManager - Tests start on Chrome
22:50:58 INFO  tests.TestBase - Method registrationPositiveDTO is started
22:50:58 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
22:51:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
22:51:03 INFO  manager.TestNgListener - Test registrationPositiveDTO started
22:51:03 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
22:51:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
22:51:03 INFO  tests.TestBase - openRegistrationForm invoked
22:51:03 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
22:51:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
22:51:03 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
22:51:03 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
22:51:04 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
22:51:04 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
22:51:04 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
22:51:04 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
22:51:04 INFO  manager.WdListener - Start searching element ---> By.cssSelector: label[for='terms-of-use']
22:51:04 INFO  manager.WdListener - Element with locator ---> By.cssSelector: label[for='terms-of-use'] is found
22:51:04 INFO  tests.TestBase - fillRegistrationForm invoked
22:51:04 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
22:51:04 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
22:51:04 INFO  tests.TestBase - submitButton invoked
22:51:04 INFO  tests.TestBase - registrationPositive starts with credentials : maro1234@mail.com Mara3456$1
22:51:04 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[contains(text(),'success')]
22:51:09 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[contains(text(),'success')] is found
22:51:09 INFO  manager.TestNgListener - Test registrationPositiveDTO failed : java.lang.AssertionError: expected [true] but found [false]
